"Post Unique Reference","Name","Grade","Job Title","Job/Team Function","Parent Department","Organisation","Unit","Contact Phone","Contact E-mail","Reports to Senior Post","Salary Cost of Reports (£)","FTE","Actual Pay Floor (£)","Actual Pay Ceiling (£)","","Professional/Occupational Group","Notes","Valid?"
"1167535","General Sir P Wall KCB CBE ADC Gen","OF-9","Chief of the General Staff","CGS is the professional head of the Army. He is responsible for generating a balanced and integrated Army capability, and for maintaining the fighting effectiveness, efficiency and morale of the Service. He reports to the Chief of the Defence Staff (CDS). As a member of the Defence Council and the Army Board, the Defence Ministerial Committee, the Defence Board, the Chiefs of Staff Committee and the Senior Appointments Committee he contributes to the conduct of Defence higher level business, with a particular responsibility for providing specialist advice on Army matters. He chairs the Executive Committee of the Army Board.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","XX","10864368","1.00","165000","169999","","Military","","1"
"1603303","N/D","OF-6","Provost Marshal (Army)","Provost Marshal (Army) (PM (A)) is the Head of Service and Director of The Provost Branch of the Adjutant General’s Corps. The Provost Branch comprises 3 distinct organisations: the Royal Military Police; the Military Provost Staff; and the Military Provost Guard Service. PM (A) is appointed by CGS with responsibility to provide the necessary military police, custodial and guarding services to the Army, whilst acting as CAA &I for investigations, detention and close protection. PM (A) is also appointed by the Secretary of State for Defence as Inspector of Military Establishments (Army) (I of ME (A)).","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1167535","2154690","1.00","N/D","","","Military","","1"
"1173817","N/D","OF-6","Army Inspector","The Army Inspector is the 1* conscience of the Army and reports directly to CGS. His mission is: ‘to ensure appropriate assurance and regulation for all Army activity across Defence, in order to enhance and sustain the operational effectiveness and reputation of the Army, now and in the future’.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1167535","N/D","1.00","N/D","","","Military","","1"
"1178844","Major General J R Everard CBE","OF-7","Assistant Chief of the General Staff","ACGS’s Mission is to support CGS in his roles, and set the conditions for the Army to contribute to success on operations by influencing MOD decision making, securing resources, converting Defence policy into Army policy, ensuring coherence across the DLoDs – both across the Army and within Arms and Services – and developing the Army of the future.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1167535","N/D","1.00","N/D","","","Military","","1"
"1174823","N/D","OF-6","Brigadier General Staff","The General Staff’s Mission is to formulate policy for the Army, as directed by the Chief of the General Staff, and communicate that policy as authoritative direction for execution by the Army.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1178844","N/D","1.00","N/D","","","Military","","1"
"1170393","N/D","OF-6","Brigadier Equipment Strategy (Army)","BES(A) is responsible for the Army Equipment Strategy. He represents the Army ‘User’ for equipment capability management and planning in order to sustain the Army’s capability to fi ght at all scales of effort and at the highest intensity as required within Defence Planning Assumptions. BES(A) supports HQLF in capability delivery as required.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1178844","N/D","1.00","N/D","","","Military","","1"
"1574502","N/D","OF-6","Brigadier Media and Communication (Army)","On behalf of CGS, BMC(A) plans and coordinates all Army communication activities in direct support of Defence Media and Communications' objectives. BMC(A) is required to conduct agile, coherent and influential internal and external communication in order to improve an understanding of the Army and thereby maintain, protect and enhance the Army's capability and reputation. BMC(A) directs all Army communication assets, from press officers and presentation teams to publications and websites.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1178844","N/D","1.00","N/D","","","Military","","1"
"1598314","General Sir Nick Parker KCB CBE ADC Gen","OF-9","Commander in Chief Land Forces","To provide the military capability to conduct and support operations in pursuit of the UK's Defence Aim - in the right place, at the right time, and in the most cost effective manner.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1167535","5884619","1.00","165000","169999","","Military","","1"
"1162954","Major General MW Poffley OBE","OF-7","Chief of Staff HQ Land Forces","To coordinate staff effort within HQ Land Forces in order to optimise the outputs of the Command within resources.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1598314","10438498","1.00","N/D","","","Military","","1"
"1654603","Maj Gen the Duke of Westminster KG CB OBE TD DL","OF-7","Deputy Commander Army Reserves","Responsible for recruiting and training of Reserves for current and future operations, in conjunction with DG ART. DCAR will direct the staff and coordination of the force generation and deployment of the Reserves within LF for Op HERRICK, contingency and UK operations. DCAR will assist CinC in migrating TA C2 under the Regular Army structure.","Ministry of Defence","Ministry of Defence","Land Forces","01264 886108","LF-Sec-Group@mod.uk","1598314","N/D","1.00","N/D","","","Military","","1"
